baker,series,episode,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
Flo,8,5,NA,NA,NA,NA,71,Retired,Merseyside
Peter,8,5,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Tom,8,5,NA,NA,NA,NA,29,Architect,Edinburgh
Kate,8,6,5,IN,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,29,Health and safety inspector,Merseyside
Sophie,8,6,2,IN,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,8,6,6,IN,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,42,Former school teacher,"Radlett, Hertfordshire"
Steven,8,6,3,IN,'Fleetwood Mac' Decorative Pies,Christmas Pie,34,Marketer,"Watford, Hertfordshire"
Yan,8,6,1,IN,'πr2' Decorative Pies,Chequerboard Pie,46,Laboratory research scientist,North London
Julia,8,6,7,OUT,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,21,Aviation Broker,"Crawley, West Sussex"
Liam,8,6,4,STAR BAKER,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,19,Student,North London
Chris,8,6,NA,NA,NA,NA,50,Software developer,Bristol
Flo,8,6,NA,NA,NA,NA,71,Retired,Merseyside
James,8,6,NA,NA,NA,NA,46,Banker,"Brentwood, Essex"
Peter,8,6,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Tom,8,6,NA,NA,NA,NA,29,Architect,Edinburgh
Kate,8,7,6,IN,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,29,Health and safety inspector,Merseyside
Liam,8,7,2,IN,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,19,Student,North London
Sophie,8,7,3,IN,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,8,7,4,IN,My All Time Favourite Desserts,Pastry Surprise,42,Former school teacher,"Radlett, Hertfordshire"
Yan,8,7,5,OUT,Cannoli Cocktails,Canadian-Style Sfogliatelle,46,Laboratory research scientist,North London
Steven,8,7,1,STAR BAKER,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,34,Marketer,"Watford, Hertfordshire"
Chris,8,7,NA,NA,NA,NA,50,Software developer,Bristol
Flo,8,7,NA,NA,NA,NA,71,Retired,Merseyside
James,8,7,NA,NA,NA,NA,46,Banker,"Brentwood, Essex"
Julia,8,7,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex"
Peter,8,7,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Tom,8,7,NA,NA,NA,NA,29,Architect,Edinburgh
Kate,8,8,2,IN,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,29,Health and safety inspector,Merseyside
Sophie,8,8,4,IN,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Steven,8,8,1,IN,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,34,Marketer,"Watford, Hertfordshire"
Liam,8,8,5,OUT,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,19,Student,North London
Stacey,8,8,3,STAR BAKER,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,42,Former school teacher,"Radlett, Hertfordshire"
Chris,8,8,NA,NA,NA,NA,50,Software developer,Bristol
Flo,8,8,NA,NA,NA,NA,71,Retired,Merseyside
James,8,8,NA,NA,NA,NA,46,Banker,"Brentwood, Essex"
Julia,8,8,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex"
Peter,8,8,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Tom,8,8,NA,NA,NA,NA,29,Architect,Edinburgh
Yan,8,8,NA,NA,NA,NA,46,Laboratory research scientist,North London
Kate,8,9,4,IN,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,29,Health and safety inspector,Merseyside
Steven,8,9,3,IN,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,34,Marketer,"Watford, Hertfordshire"
Stacey,8,9,2,OUT,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,42,Former school teacher,"Radlett, Hertfordshire"
Sophie,8,9,1,STAR BAKER,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Chris,8,9,NA,NA,NA,NA,50,Software developer,Bristol
Flo,8,9,NA,NA,NA,NA,71,Retired,Merseyside
James,8,9,NA,NA,NA,NA,46,Banker,"Brentwood, Essex"
Julia,8,9,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex"
Liam,8,9,NA,NA,NA,NA,19,Student,North London
Peter,8,9,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Tom,8,9,NA,NA,NA,NA,29,Architect,Edinburgh
Yan,8,9,NA,NA,NA,NA,46,Laboratory research scientist,North London
Kate,8,10,3,Runner-up,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",29,Health and safety inspector,Merseyside
Steven,8,10,1,Runner-up,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,34,Marketer,"Watford, Hertfordshire"
Sophie,8,10,2,WINNER,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Chris,8,10,NA,NA,NA,NA,50,Software developer,Bristol
Flo,8,10,NA,NA,NA,NA,71,Retired,Merseyside
James,8,10,NA,NA,NA,NA,46,Banker,"Brentwood, Essex"
Julia,8,10,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex"
Liam,8,10,NA,NA,NA,NA,19,Student,North London
Peter,8,10,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Stacey,8,10,NA,NA,NA,NA,42,Former school teacher,"Radlett, Hertfordshire"
Tom,8,10,NA,NA,NA,NA,29,Architect,Edinburgh
Yan,8,10,NA,NA,NA,NA,46,Laboratory research scientist,North London
Antony,9,1,12,IN,NA,NA,30,Banker,London
Briony,9,1,2,IN,NA,NA,33,Full-time parent,Bristol
Dan,9,1,4,IN,NA,NA,36,Full-time parent,London
Jon,9,1,5,IN,NA,NA,47,Blood courier,Newport
Karen,9,1,6,IN,NA,NA,60,In-store sampling assistant,Wakefield
Kim-Joy,9,1,10,IN,NA,NA,27,Mental health specialist,Leeds
Luke,9,1,8,IN,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Rahul,9,1,7,IN,NA,NA,30,Research scientist,Rotherham
Ruby,9,1,1,IN,NA,NA,29,Project manager,London
Terry,9,1,9,IN,NA,NA,56,Retired air steward,West Midlands
Imelda,9,1,11,OUT,NA,NA,33,Countryside recreation officer,County Tyrone
Manon,9,1,3,STAR BAKER,NA,NA,26,Software project manager,London
Antony,9,2,9,IN,NA,NA,30,Banker,London
Briony,9,2,5,IN,NA,NA,33,Full-time parent,Bristol
Dan,9,2,3,IN,NA,NA,36,Full-time parent,London
Jon,9,2,1,IN,NA,NA,47,Blood courier,Newport
Karen,9,2,11,IN,NA,NA,60,In-store sampling assistant,Wakefield
Kim-Joy,9,2,4,IN,NA,NA,27,Mental health specialist,Leeds
Manon,9,2,6,IN,NA,NA,26,Software project manager,London
Ruby,9,2,10,IN,NA,NA,29,Project manager,London
Terry,9,2,8,IN,NA,NA,56,Retired air steward,West Midlands
Luke,9,2,7,OUT,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Rahul,9,2,2,STAR BAKER,NA,NA,30,Research scientist,Rotherham
Imelda,9,2,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Briony,9,3,9,IN,NA,NA,33,Full-time parent,Bristol
Dan,9,3,6,IN,NA,NA,36,Full-time parent,London
Jon,9,3,2,IN,NA,NA,47,Blood courier,Newport
Karen,9,3,5,IN,NA,NA,60,In-store sampling assistant,Wakefield
Kim-Joy,9,3,10,IN,NA,NA,27,Mental health specialist,Leeds
Manon,9,3,3,IN,NA,NA,26,Software project manager,London
Ruby,9,3,7,IN,NA,NA,29,Project manager,London
Terry,9,3,1,IN,NA,NA,56,Retired air steward,West Midlands
Antony,9,3,8,OUT,NA,NA,30,Banker,London
Rahul,9,3,4,STAR BAKER,NA,NA,30,Research scientist,Rotherham
Imelda,9,3,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Luke,9,3,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Terry,9,4,NA,[a],NA,NA,56,Retired air steward,West Midlands
Briony,9,4,5,IN,NA,NA,33,Full-time parent,Bristol
Jon,9,4,3,IN,NA,NA,47,Blood courier,Newport
Karen,9,4,7,IN,NA,NA,60,In-store sampling assistant,Wakefield
Kim-Joy,9,4,6,IN,NA,NA,27,Mental health specialist,Leeds
Manon,9,4,8,IN,NA,NA,26,Software project manager,London
Rahul,9,4,4,IN,NA,NA,30,Research scientist,Rotherham
Ruby,9,4,2,IN,NA,NA,29,Project manager,London
Dan,9,4,1,STAR BAKER,NA,NA,36,Full-time parent,London
Antony,9,4,NA,NA,NA,NA,30,Banker,London
Imelda,9,4,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Luke,9,4,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Briony,9,5,6,IN,NA,NA,33,Full-time parent,Bristol
Dan,9,5,2,IN,NA,NA,36,Full-time parent,London
Jon,9,5,7,IN,NA,NA,47,Blood courier,Newport
Manon,9,5,5,IN,NA,NA,26,Software project manager,London
Rahul,9,5,3,IN,NA,NA,30,Research scientist,Rotherham
Ruby,9,5,1,IN,NA,NA,29,Project manager,London
Karen,9,5,9,OUT,NA,NA,60,In-store sampling assistant,Wakefield
Terry,9,5,8,OUT,NA,NA,56,Retired air steward,West Midlands
Kim-Joy,9,5,4,STAR BAKER,NA,NA,27,Mental health specialist,Leeds
Antony,9,5,NA,NA,NA,NA,30,Banker,London
Imelda,9,5,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Luke,9,5,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Jon,9,6,2,IN,NA,NA,47,Blood courier,Newport
Kim-Joy,9,6,5,IN,NA,NA,27,Mental health specialist,Leeds
Manon,9,6,4,IN,NA,NA,26,Software project manager,London
Rahul,9,6,3,IN,NA,NA,30,Research scientist,Rotherham
Ruby,9,6,7,IN,NA,NA,29,Project manager,London
Dan,9,6,6,OUT,NA,NA,36,Full-time parent,London
Briony,9,6,1,STAR BAKER,NA,NA,33,Full-time parent,Bristol
Antony,9,6,NA,NA,NA,NA,30,Banker,London
Imelda,9,6,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Karen,9,6,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield
Luke,9,6,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Terry,9,6,NA,NA,NA,NA,56,Retired air steward,West Midlands
Briony,9,7,5,IN,NA,NA,33,Full-time parent,Bristol
Manon,9,7,2,IN,NA,NA,26,Software project manager,London
Rahul,9,7,1,IN,NA,NA,30,Research scientist,Rotherham
Ruby,9,7,3,IN,NA,NA,29,Project manager,London
Jon,9,7,4,OUT,NA,NA,47,Blood courier,Newport
Kim-Joy,9,7,6,STAR BAKER,NA,NA,27,Mental health specialist,Leeds
Antony,9,7,NA,NA,NA,NA,30,Banker,London
Dan,9,7,NA,NA,NA,NA,36,Full-time parent,London
Imelda,9,7,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Karen,9,7,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield
Luke,9,7,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Terry,9,7,NA,NA,NA,NA,56,Retired air steward,West Midlands
Briony,9,8,1,IN,NA,NA,33,Full-time parent,Bristol
Kim-Joy,9,8,2,IN,NA,NA,27,Mental health specialist,Leeds
Rahul,9,8,5,IN,NA,NA,30,Research scientist,Rotherham
Manon,9,8,4,OUT,NA,NA,26,Software project manager,London
Ruby,9,8,3,STAR BAKER,NA,NA,29,Project manager,London
Antony,9,8,NA,NA,NA,NA,30,Banker,London
Dan,9,8,NA,NA,NA,NA,36,Full-time parent,London
Imelda,9,8,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Jon,9,8,NA,NA,NA,NA,47,Blood courier,Newport
Karen,9,8,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield
Luke,9,8,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Terry,9,8,NA,NA,NA,NA,56,Retired air steward,West Midlands
Kim-Joy,9,9,2,IN,NA,NA,27,Mental health specialist,Leeds
Rahul,9,9,4,IN,NA,NA,30,Research scientist,Rotherham
Briony,9,9,3,OUT,NA,NA,33,Full-time parent,Bristol
Ruby,9,9,1,STAR BAKER,NA,NA,29,Project manager,London
Antony,9,9,NA,NA,NA,NA,30,Banker,London
Dan,9,9,NA,NA,NA,NA,36,Full-time parent,London
Imelda,9,9,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Jon,9,9,NA,NA,NA,NA,47,Blood courier,Newport
Karen,9,9,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield
Luke,9,9,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Manon,9,9,NA,NA,NA,NA,26,Software project manager,London
Terry,9,9,NA,NA,NA,NA,56,Retired air steward,West Midlands
Kim-Joy,9,10,1,Runner-up,NA,NA,27,Mental health specialist,Leeds
Ruby,9,10,3,Runner-up,NA,NA,29,Project manager,London
Rahul,9,10,2,WINNER,NA,NA,30,Research scientist,Rotherham
Antony,9,10,NA,NA,NA,NA,30,Banker,London
Briony,9,10,NA,NA,NA,NA,33,Full-time parent,Bristol
Dan,9,10,NA,NA,NA,NA,36,Full-time parent,London
Imelda,9,10,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone
Jon,9,10,NA,NA,NA,NA,47,Blood courier,Newport
Karen,9,10,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield
Luke,9,10,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield
Manon,9,10,NA,NA,NA,NA,26,Software project manager,London
Terry,9,10,NA,NA,NA,NA,56,Retired air steward,West Midlands
Alice,10,1,5,IN,NA,NA,28,Geography teacher,Essex
Amelia,10,1,4,IN,NA,NA,24,Fashion designer,Halifax
David,10,1,10,IN,NA,NA,36,International health adviser,Whitby
Helena,10,1,12,IN,NA,NA,40,Online project manager,Leeds
Henry,10,1,1,IN,NA,NA,20,Student,Durham
Jamie,10,1,13,IN,NA,NA,20,Part-time waiter,Surrey
Michael,10,1,11,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Phil,10,1,8,IN,NA,NA,56,HGV driver,Rainham
Priya,10,1,7,IN,NA,NA,34,Marketing consultant,Leicester
Rosie,10,1,2,IN,NA,NA,28,Veterinary surgeon,Somerset
Steph,10,1,3,IN,NA,NA,28,Shop assistant,Chester
Dan,10,1,9,OUT,NA,NA,32,Support worker,Rotherham
Michelle,10,1,6,STAR BAKER,NA,NA,35,Print shop administrator,"Tenby, Wales"
Amelia,10,2,9,IN,NA,NA,24,Fashion designer,Halifax
David,10,2,2,IN,NA,NA,36,International health adviser,Whitby
Helena,10,2,12,IN,NA,NA,40,Online project manager,Leeds
Henry,10,2,6,IN,NA,NA,20,Student,Durham
Michael,10,2,4,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,10,2,8,IN,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,2,3,IN,NA,NA,56,HGV driver,Rainham
Priya,10,2,7,IN,NA,NA,34,Marketing consultant,Leicester
Rosie,10,2,5,IN,NA,NA,28,Veterinary surgeon,Somerset
Steph,10,2,10,IN,NA,NA,28,Shop assistant,Chester
Jamie,10,2,11,OUT,NA,NA,20,Part-time waiter,Surrey
Alice,10,2,1,STAR BAKER,NA,NA,28,Geography teacher,Essex
Dan,10,2,NA,NA,NA,NA,32,Support worker,Rotherham
Alice,10,3,7,IN,NA,NA,28,Geography teacher,Essex
David,10,3,2,IN,NA,NA,36,International health adviser,Whitby
Helena,10,3,8,IN,NA,NA,40,Online project manager,Leeds
Henry,10,3,1,IN,NA,NA,20,Student,Durham
Michelle,10,3,5,IN,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,3,10,IN,NA,NA,56,HGV driver,Rainham
Priya,10,3,4,IN,NA,NA,34,Marketing consultant,Leicester
Rosie,10,3,9,IN,NA,NA,28,Veterinary surgeon,Somerset
Steph,10,3,3,IN,NA,NA,28,Shop assistant,Chester
Amelia,10,3,11,OUT,NA,NA,24,Fashion designer,Halifax
Michael,10,3,6,STAR BAKER,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Dan,10,3,NA,NA,NA,NA,32,Support worker,Rotherham
Jamie,10,3,NA,NA,NA,NA,20,Part-time waiter,Surrey
Alice,10,4,8,IN,NA,NA,28,Geography teacher,Essex
David,10,4,2,IN,NA,NA,36,International health adviser,Whitby
Helena,10,4,9,IN,NA,NA,40,Online project manager,Leeds
Henry,10,4,3,IN,NA,NA,20,Student,Durham
Michael,10,4,7,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,10,4,5,IN,NA,NA,35,Print shop administrator,"Tenby, Wales"
Priya,10,4,10,IN,NA,NA,34,Marketing consultant,Leicester
Rosie,10,4,4,IN,NA,NA,28,Veterinary surgeon,Somerset
Phil,10,4,6,OUT,NA,NA,56,HGV driver,Rainham
Steph,10,4,1,STAR BAKER,NA,NA,28,Shop assistant,Chester
Amelia,10,4,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,4,NA,NA,NA,NA,32,Support worker,Rotherham
Jamie,10,4,NA,NA,NA,NA,20,Part-time waiter,Surrey
Alice,10,5,6,IN,NA,NA,28,Geography teacher,Essex
David,10,5,9,IN,NA,NA,36,International health adviser,Whitby
Henry,10,5,3,IN,NA,NA,20,Student,Durham
Michael,10,5,8,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Priya,10,5,2,IN,NA,NA,34,Marketing consultant,Leicester
Rosie,10,5,5,IN,NA,NA,28,Veterinary surgeon,Somerset
Helena,10,5,1,OUT,NA,NA,40,Online project manager,Leeds
Michelle,10,5,7,OUT,NA,NA,35,Print shop administrator,"Tenby, Wales"
Steph,10,5,4,STAR BAKER,NA,NA,28,Shop assistant,Chester
Amelia,10,5,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,5,NA,NA,NA,NA,32,Support worker,Rotherham
Jamie,10,5,NA,NA,NA,NA,20,Part-time waiter,Surrey
Phil,10,5,NA,NA,NA,NA,56,HGV driver,Rainham
Alice,10,6,1,IN,NA,NA,28,Geography teacher,Essex
David,10,6,2,IN,NA,NA,36,International health adviser,Whitby
Henry,10,6,4,IN,NA,NA,20,Student,Durham
Michael,10,6,6,IN,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Rosie,10,6,5,IN,NA,NA,28,Veterinary surgeon,Somerset
Priya,10,6,7,OUT,NA,NA,34,Marketing consultant,Leicester
Steph,10,6,3,STAR BAKER,NA,NA,28,Shop assistant,Chester
Amelia,10,6,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,6,NA,NA,NA,NA,32,Support worker,Rotherham
Helena,10,6,NA,NA,NA,NA,40,Online project manager,Leeds
Jamie,10,6,NA,NA,NA,NA,20,Part-time waiter,Surrey
Michelle,10,6,NA,NA,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,6,NA,NA,NA,NA,56,HGV driver,Rainham
Alice,10,7,6,IN,NA,NA,28,Geography teacher,Essex
David,10,7,2,IN,NA,NA,36,International health adviser,Whitby
Rosie,10,7,1,IN,NA,NA,28,Veterinary surgeon,Somerset
Steph,10,7,4,IN,NA,NA,28,Shop assistant,Chester
Michael,10,7,5,OUT,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Henry,10,7,3,STAR BAKER,NA,NA,20,Student,Durham
Amelia,10,7,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,7,NA,NA,NA,NA,32,Support worker,Rotherham
Helena,10,7,NA,NA,NA,NA,40,Online project manager,Leeds
Jamie,10,7,NA,NA,NA,NA,20,Part-time waiter,Surrey
Michelle,10,7,NA,NA,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,7,NA,NA,NA,NA,56,HGV driver,Rainham
Priya,10,7,NA,NA,NA,NA,34,Marketing consultant,Leicester
Alice,10,8,3,IN,NA,NA,28,Geography teacher,Essex
David,10,8,1,IN,NA,NA,36,International health adviser,Whitby
Rosie,10,8,2,IN,NA,NA,28,Veterinary surgeon,Somerset
Henry,10,8,5,OUT,NA,NA,20,Student,Durham
Steph,10,8,4,STAR BAKER,NA,NA,28,Shop assistant,Chester
Amelia,10,8,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,8,NA,NA,NA,NA,32,Support worker,Rotherham
Helena,10,8,NA,NA,NA,NA,40,Online project manager,Leeds
Jamie,10,8,NA,NA,NA,NA,20,Part-time waiter,Surrey
Michael,10,8,NA,NA,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,10,8,NA,NA,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,8,NA,NA,NA,NA,56,HGV driver,Rainham
Priya,10,8,NA,NA,NA,NA,34,Marketing consultant,Leicester
David,10,9,2,IN,NA,NA,36,International health adviser,Whitby
Steph,10,9,3,IN,NA,NA,28,Shop assistant,Chester
Rosie,10,9,1,OUT,NA,NA,28,Veterinary surgeon,Somerset
Alice,10,9,4,STAR BAKER,NA,NA,28,Geography teacher,Essex
Amelia,10,9,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,9,NA,NA,NA,NA,32,Support worker,Rotherham
Helena,10,9,NA,NA,NA,NA,40,Online project manager,Leeds
Henry,10,9,NA,NA,NA,NA,20,Student,Durham
Jamie,10,9,NA,NA,NA,NA,20,Part-time waiter,Surrey
Michael,10,9,NA,NA,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,10,9,NA,NA,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,9,NA,NA,NA,NA,56,HGV driver,Rainham
Priya,10,9,NA,NA,NA,NA,34,Marketing consultant,Leicester
Alice,10,10,2,Runner-up,NA,NA,28,Geography teacher,Essex
Steph,10,10,3,Runner-up,NA,NA,28,Shop assistant,Chester
David,10,10,1,WINNER,NA,NA,36,International health adviser,Whitby
Amelia,10,10,NA,NA,NA,NA,24,Fashion designer,Halifax
Dan,10,10,NA,NA,NA,NA,32,Support worker,Rotherham
Helena,10,10,NA,NA,NA,NA,40,Online project manager,Leeds
Henry,10,10,NA,NA,NA,NA,20,Student,Durham
Jamie,10,10,NA,NA,NA,NA,20,Part-time waiter,Surrey
Michael,10,10,NA,NA,NA,NA,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michelle,10,10,NA,NA,NA,NA,35,Print shop administrator,"Tenby, Wales"
Phil,10,10,NA,NA,NA,NA,56,HGV driver,Rainham
Priya,10,10,NA,NA,NA,NA,34,Marketing consultant,Leicester
Rosie,10,10,NA,NA,NA,NA,28,Veterinary surgeon,Somerset
